구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,1.0,0.9500000000000001,0.9166666666666666,1.0,1.0,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,570500.0,2780,0.9733333333333334,85.46306611114227
강동구,0.1928374655647383,0.20000000000000004,0.16666666666666666,0.48774594408008287,0.4912621359223301,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,453233.0,773,0.3077024424467636,85.55022576390748
강북구,0.18457300275482097,0.6000000000000001,0.41666666666666663,0.16603382809803247,0.47087378640776695,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,330192.0,748,0.36762945678545744,94.07072761768072
강서구,0.4848484848484848,0.55,0.41666666666666663,0.39454608215395237,0.6514563106796116,72.90076335877863,100.0,100.0,60.1145038167939,84.75210477081384,603772.0,884,0.49950350886974315,96.5728087490353
관악구,0.6446280991735538,0.5000000000000001,0.5833333333333334,0.6051087331722471,0.680906148867314,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,525515.0,1496,0.6027952629092898,85.21222448195587
광진구,0.42424242424242425,0.6000000000000001,0.16666666666666666,0.7155678287884017,0.4631067961165049,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,372164.0,707,0.4739167431627996,96.37581975731734
구로구,0.5371900826446281,0.65,0.5,0.47704521919226783,0.5867313915857606,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,447874.0,1561,0.5501933386845314,75.27790635466599
금천구,0.17906336088154268,0.20000000000000004,0.08333333333333334,0.2119433897134967,0.27831715210355984,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,255082.0,1015,0.1905314472063865,97.9971394327299
노원구,0.3057851239669422,0.25,0.6666666666666666,0.4280289955125992,0.4948220064724919,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,569384.0,1265,0.42906055852374003,88.64617415331136
도봉구,0.0440771349862259,0.35,0.08333333333333334,0.03797031411805318,0.0948220064724919,100.0,100.0,100.0,44.96707431796801,87.62609280430397,348646.0,485,0.12204055778202086,100.0
동대문구,0.23966942148760334,0.55,0.24999999999999997,0.35484984466689673,0.4381877022653721,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,369496.0,1294,0.3665413936839744,95.44425044106504
동작구,0.5482093663911847,0.35,0.24999999999999997,0.3148084225060407,0.23171521035598702,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,412520.0,1091,0.3389465998506424,74.63336788530299
마포구,0.5730027548209367,0.6000000000000001,0.5,0.5529858474283742,0.5789644012944983,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,389649.0,574,0.5609906007087618,85.92538102511915
서대문구,0.18732782369146006,0.15,0.0,0.2965136347946151,0.27896440129449834,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,327163.0,962,0.1825611719561147,88.87514434317907
서초구,0.8457300275482094,0.35,0.5,0.5806006213324129,0.3899676375404531,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,450310.0,1930,0.533259657284215,77.1816918763104
성동구,0.11019283746556474,0.35,0.16666666666666666,0.22575077666551602,0.13527508090614887,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,311244.0,1062,0.19757707234077926,94.08881015517144
성북구,0.0,0.0,0.0,0.0,0.0,82.55813953488372,50.0,100.0,42.91710388247639,85.00837520938023,461260.0,1464,0.0,83.33086281153628
송파구,0.3691460055096419,0.55,0.75,0.7890921643079047,0.6799352750809062,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,667483.0,618,0.6276346889796904,85.10306586921345
양천구,0.09366391184573003,0.20000000000000004,0.08333333333333334,0.32343803935105275,0.42556634304207114,87.5,50.0,100.0,35.55555555555556,80.90872857712236,479978.0,2034,0.22520032551443747,81.82382687349065
영등포구,0.5757575757575757,1.0,0.9999999999999999,0.6941663790127719,0.76957928802589,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,402985.0,904,0.8079006485592476,81.95875250321699
용산구,0.29752066115702486,0.6000000000000001,0.24999999999999997,0.20849154297549188,0.27702265372168283,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,244203.0,1624,0.32660697157083995,94.77678951004307
은평구,0.22038567493112948,0.35,0.08333333333333334,0.3317224715222644,0.47216828478964395,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,494388.0,1873,0.2915219529152743,86.84238612008086
종로구,0.3443526170798898,0.45000000000000007,0.33333333333333337,0.4249223334483949,0.35566343042071197,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,162820.0,1002,0.38165434285646604,84.14183528687248
중구,0.23140495867768596,0.35,0.08333333333333334,0.5505695547117708,0.3333333333333333,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,133240.0,671,0.3097282360112247,74.12265003790951
중랑구,0.27823691460055094,0.45000000000000007,0.9166666666666666,0.4080082844321712,0.5349514563106796,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,414503.0,660,0.5175726644020138,87.06666281875579
